"Link Immagine";"Opera";"Località";"Ubicazione";"Anno collocamento";
"151|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/151.pdf";"Scultura \" Maria Callas\"";"CESENA";"R.da Maria Callas";2.013;
"152|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/152.pdf";"Busto \"Vittorio Borghesi\"";"PIOPPA";"Rda Pioppa";2.015;
"15|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/15.pdf";"Lapide a Pio Battistini";"CESENA";"Via Zeffirino Re (cv. 9)";;
"16|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/16.pdf";"Lapide a Renato Serra Casa Natale";"CESENA";"Viale Carducci (cv.29)";;
"17|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/17.pdf";"Lapide a Ubaldo Comandini Casa";"CESENA";"Corso Ubaldo Comandini (cv. 50)";;
"18|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/18.pdf";"Lapide ai Caduti del 03 settembre 1944";"CESENA";"Rocca Malatestiana - Sferisterio";;
"19|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/19.pdf";"Lapide ai Caduti della Guerra 1914_1918";"CESENA";"Viale Mazzoni - c/o entrata Parco delle Rimembranz";;
"1|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/1.pdf";"Busto a Garibaldi via Zeffirino Re";"CESENA";"Via Zeffirino Re (cv.1A)";;
"20|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/20.pdf";"Lapide ai Caduti delle due guerre";"TIPANO";"Via Tipano - c/o cimitero";;
"21|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/21.pdf";"Lapide ai Caduti in guerra";"S. GIORGIO";"Via Cerca - c/o cimitero";;
"22|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/22.pdf";"Lapide ai Caduti per la patria Guerra 1915_1918";"BAGNILE";"Via Rovescio (cv. 2025) - c/o ex scuola materna";;
"23|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/23.pdf";"Lapide ai Caduti per le Battaglie d'Indipendenza";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 10)";;
"24|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/24.pdf";"Lapide ai Caduti via Chiesa di S.Cristoforo";"S. CRISTOFORO";"Via Chiesa di S. Cristoforo - c/o cimitero";;
"25|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/25.pdf";"Lapide ai Martiri della Liberta";"BAGNILE";"Via Rovescio (cv. 2025) - c/o ex scuola materna";;
"26|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/26.pdf";"Lapide alla Cavalla Inglese";"CESENA";"Piazza Amendola (cv. 9)";;
"27|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/27.pdf";"Lapide del comitato ai Caduti";"PIEVESESTINA";"Via Dismano - c/o cimitero";;
"28|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/28.pdf";"Lapide e Fregio a PioVI";"CESENA";"Ponte Vecchio - c/o colonna sx  lato S. Mauro";;
"29|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/29.pdf";"Lapide Piazza del Popolo";"CESENA";"Piazza del Popolo - c/o Torretta";;
"2|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/2.pdf";"Busto a Pietro Turchi";"CESENA";"c/o Giardini Pubblici  Verdi";;
"30|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/30.pdf";"Lapide Porta Santi";"CESENA";"Porta Santi - facciata lato mare";;
"31|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/31.pdf";"Lapide via S.Mauro";"CESENA";"Via S. Mauro - c/o campanile chiesa";;
"32|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/32.pdf";"Madonnina Piazza del Popolo";"CESENA";"Piazza del Popolo - facciata pzzo comunale";;
"33|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/33.pdf";"Monumento ai \"Caduti dell'aria\"";"CESENA";"Via Boscone c/o area verde istituto Comandini";;
"34|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/34.pdf";"Monumento ai Caduti della seconda guerra mondiale";"GATTOLINO";"Via Renato Medri - c/o cimitero";;
"35|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/35.pdf";"Monumento ai Caduti delle guerre via Calisese";"CALISESE";"Via Calisese - c/o Chiesa";;
"36|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/36.pdf";"Monumento ai Caduti delle Guerre via Ravennate";"RONTA";"Via Ravennate angolo Via Ronta";;
"37|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/37.pdf";"Monumento ai Caduti di Cefalonia";"CESENA";"Viale Carducci - c/o pista ciclabile (dav. cv. 25)";;
"38|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/38.pdf";"Monumento ai Caduti di tutte le guerre";"BORELLO";"Piazza S. Pietro in Solfrino - c/o area verde";;
"39|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/39.pdf";"Monumento ai Caduti per la Liberta";"RUFFIO";"Rotonda Martiri ponte di Ruffio";;
"3|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/3.pdf";"Busto a Renato Serra";"CESENA";"Piazza Bufalini";;
"40|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/40.pdf";"Monumento ai Caduti per la Patria via SVittore";"S. VITTORE";"Via S. Vittore - adiacente scuola elementare";;
"41|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/41.pdf";"Monumento ai Caduti via Capannaguzzo";"BULGARNO'";"Via Capannaguzzo (cv. 1481) - c/o Chiesa";;
"42|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/42.pdf";"Monumento ai Caduti via Chiesa di Casale";"CASALE";"Via Chiesa di Casale";;
"43|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/43.pdf";"Monumento ai Soldati italiani morti in Russia";"PONTE ABBADESSE";"Via Sorrivoli (cv. 585)";;
"44|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/44.pdf";"Monumento Caduti di tutte le Guerre Montaletto";"S. GIORGIO";"Via Montaletto - c/o Giardino dei Ciliegi";;
"45|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/45.pdf";"Monumento Giardinetto G.C. Savelli";"CESENA";"Viale Carducci - c/o pista ciclabile";;
"46|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/46.pdf";"Monumento Madonnina Rotonda Martiri Ponte di Ruffi";"RUFFIO";"Rotonda Martiri ponte di Ruffio";;
"47|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/47.pdf";"Scultura a Don Carlo Baronio";"CESENA";"Via Don Carlo Baronio";;
"48|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/48.pdf";"Lapidi viale Osservanza";"CESENA";"Viale Osservanza angolo via Cavallotti";1.584;
"49|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/49.pdf";"Lapide a Nereo Corsini e Lazzaro Pallavicini";"CESENA";"Ponte Vecchio - c/o colonna sx  lato S. Mauro";1.753;
